,AÑO,name,Categoría,POBLACIÓN,POBLACION_2023,POBLACION_2024,diferencia_poblacional,población_diferencia_absoluta,Crecimiento
0,2023,Aguascalientes,Total,1510839,1491126,1510839,19713,19713,1.32
1,2023,Baja California,Total,4010510,3948201,4010510,62309,62309,1.58
2,2023,Baja California Sur,Total,867766,849224,867766,18542,18542,2.18
3,2023,Campeche,Total,950291,945445,950291,4846,4846,0.51
4,2023,Chiapas,Total,5946352,5862882,5946352,83470,83470,1.42
5,2023,Chihuahua,Total,3947936,3898274,3947936,49662,49662,1.27
6,2023,Ciudad de México,Total,9221637,9237644,9221637,-16007,16007,-0.17
7,2023,Coahuila,Total,3316738,3273658,3316738,43080,43080,1.32
8,2023,Colima,Total,757405,752247,757405,5158,5158,0.69
9,2023,Durango,Total,1899457,1884286,1899457,15171,15171,0.81
10,2023,Guanajuato,Total,6422483,6360814,6422483,61669,61669,0.97
11,2023,Guerrero,Total,3604215,3599951,3604215,4264,4264,0.12
12,2023,Hidalgo,Total,3227801,3190331,3227801,37470,37470,1.17
13,2023,Jalisco,Total,8735511,8647986,8735511,87525,87525,1.01
14,2023,Michoacán,Total,4950601,4901506,4950601,49095,49095,1.0
15,2023,Morelos,Total,2030857,2017078,2030857,13779,13779,0.68
16,2023,México,Total,17501220,17379644,17501220,121576,121576,0.7
17,2023,Nayarit,Total,1294124,1278605,1294124,15519,15519,1.21
18,2023,Nuevo León,Total,6202153,6095498,6202153,106655,106655,1.75
19,2023,Oaxaca,Total,4276769,4244538,4276769,32231,32231,0.76
20,2023,Puebla,Total,6907421,6824785,6907421,82636,82636,1.21
21,2023,Querétaro,Total,2557915,2508214,2557915,49701,49701,1.98
22,2023,Quintana Roo,Total,2019606,1977161,2019606,42445,42445,2.15
24,2023,San Luis Potosí,Total,2931052,2905759,2931052,25293,25293,0.87
25,2023,Sinaloa,Total,3142699,3118470,3142699,24229,24229,0.78
26,2023,Sonora,Total,3081734,3051188,3081734,30546,30546,1.0
27,2023,Tabasco,Total,2454787,2447193,2454787,7594,7594,0.31
28,2023,Tamaulipas,Total,3685588,3652671,3685588,32917,32917,0.9
29,2023,Tlaxcala,Total,1412895,1395020,1412895,17875,17875,1.28
30,2023,Veracruz,Total,8131584,8133233,8131584,-1649,1649,-0.02
31,2023,Yucatán,Total,2452378,2420401,2452378,31977,31977,1.32
32,2023,Zacatecas,Total,1683013,1667567,1683013,15446,15446,0.93
