,AÑO,ENTIDAD,Clave_Entidad,SEXO,EDAD,POBLACION
0,1950,República Mexicana,Nacional,Hombres,54.5,14211712
1,1950,República Mexicana,Nacional,Mujeres,54.5,14251729
2,1951,República Mexicana,Nacional,Hombres,54.5,14560114
3,1951,República Mexicana,Nacional,Mujeres,54.5,14600910
4,1952,República Mexicana,Nacional,Hombres,54.5,14926461
5,1952,República Mexicana,Nacional,Mujeres,54.5,14967008
6,1953,República Mexicana,Nacional,Hombres,54.5,15314812
7,1953,República Mexicana,Nacional,Mujeres,54.5,15354590
8,1954,República Mexicana,Nacional,Hombres,54.5,15734525
9,1954,República Mexicana,Nacional,Mujeres,54.5,15772650
10,1955,República Mexicana,Nacional,Hombres,54.5,16193661
11,1955,República Mexicana,Nacional,Mujeres,54.5,16227894
12,1956,República Mexicana,Nacional,Hombres,54.5,16675925
13,1956,República Mexicana,Nacional,Mujeres,54.5,16705485
14,1957,República Mexicana,Nacional,Hombres,54.5,17178776
15,1957,República Mexicana,Nacional,Mujeres,54.5,17203469
16,1958,República Mexicana,Nacional,Hombres,54.5,17704701
17,1958,República Mexicana,Nacional,Mujeres,54.5,17723361
18,1959,República Mexicana,Nacional,Hombres,54.5,18257766
19,1959,República Mexicana,Nacional,Mujeres,54.5,18270107
20,1960,República Mexicana,Nacional,Hombres,54.5,18836697
21,1960,República Mexicana,Nacional,Mujeres,54.5,18841730
22,1961,República Mexicana,Nacional,Hombres,54.5,19442296
23,1961,República Mexicana,Nacional,Mujeres,54.5,19438832
24,1962,República Mexicana,Nacional,Hombres,54.5,20073383
25,1962,República Mexicana,Nacional,Mujeres,54.5,20060403
26,1963,República Mexicana,Nacional,Hombres,54.5,20726768
27,1963,República Mexicana,Nacional,Mujeres,54.5,20702568
28,1964,República Mexicana,Nacional,Hombres,54.5,21403485
29,1964,República Mexicana,Nacional,Mujeres,54.5,21368724
30,1965,República Mexicana,Nacional,Hombres,54.5,22099952
31,1965,República Mexicana,Nacional,Mujeres,54.5,22057142
32,1966,República Mexicana,Nacional,Hombres,54.5,22810764
33,1966,República Mexicana,Nacional,Mujeres,54.5,22762350
34,1967,República Mexicana,Nacional,Hombres,54.5,23537327
35,1967,República Mexicana,Nacional,Mujeres,54.5,23486842
36,1968,República Mexicana,Nacional,Hombres,54.5,24278984
37,1968,República Mexicana,Nacional,Mujeres,54.5,24228824
38,1969,República Mexicana,Nacional,Hombres,54.5,25035327
39,1969,República Mexicana,Nacional,Mujeres,54.5,24987819
40,1970,Aguascalientes,AG,Hombres,54.5,179225
41,1970,Aguascalientes,AG,Mujeres,54.5,181937
42,1970,Baja California,BC,Hombres,54.5,458634
43,1970,Baja California,BC,Mujeres,54.5,458693
44,1970,Baja California Sur,BCS,Hombres,54.5,69679
45,1970,Baja California Sur,BCS,Mujeres,54.5,66111
46,1970,Campeche,CAMP,Hombres,54.5,137452
47,1970,Campeche,CAMP,Mujeres,54.5,134933
48,1970,Chiapas,CHIA,Hombres,54.5,867492
49,1970,Chiapas,CHIA,Mujeres,54.5,841925
50,1970,Chihuahua,CH,Hombres,54.5,856814
51,1970,Chihuahua,CH,Mujeres,54.5,841426
52,1970,Ciudad de México,CDMX,Hombres,54.5,3555034
53,1970,Ciudad de México,CDMX,Mujeres,54.5,3781286
54,1970,Coahuila,COH,Hombres,54.5,597209
55,1970,Coahuila,COH,Mujeres,54.5,582953
56,1970,Colima,COL,Hombres,54.5,128866
57,1970,Colima,COL,Mujeres,54.5,126883
58,1970,Durango,DGO,Hombres,54.5,505377
59,1970,Durango,DGO,Mujeres,54.5,485354
60,1970,Guanajuato,GJ,Hombres,54.5,1214354
61,1970,Guanajuato,GJ,Mujeres,54.5,1200594
62,1970,Guerrero,GUE,Hombres,54.5,868391
63,1970,Guerrero,GUE,Mujeres,54.5,866432
64,1970,Hidalgo,HDGO,Hombres,54.5,643761
65,1970,Hidalgo,HDGO,Mujeres,54.5,635854
66,1970,Jalisco,JAL,Hombres,54.5,1748893
67,1970,Jalisco,JAL,Mujeres,54.5,1774813
68,1970,Michoacán,MICH,Hombres,54.5,1253462
69,1970,Michoacán,MICH,Mujeres,54.5,1237721
70,1970,Morelos,MOR,Hombres,54.5,329844
71,1970,Morelos,MOR,Mujeres,54.5,329388
72,1970,México,EDOMX,Hombres,54.5,2083107
73,1970,México,EDOMX,Mujeres,54.5,2041157
74,1970,Nayarit,NAY,Hombres,54.5,292346
75,1970,Nayarit,NAY,Mujeres,54.5,282378
76,1970,Nuevo León,NL,Hombres,54.5,900894
77,1970,Nuevo León,NL,Mujeres,54.5,887666
78,1970,Oaxaca,OAX,Hombres,54.5,1090777
79,1970,Oaxaca,OAX,Mujeres,54.5,1101585
80,1970,Puebla,PUE,Hombres,54.5,1357952
81,1970,Puebla,PUE,Mujeres,54.5,1365009
82,1970,Querétaro,QRO,Hombres,54.5,261522
83,1970,Querétaro,QRO,Mujeres,54.5,258386
84,1970,Quintana Roo,QROO,Hombres,54.5,49898
85,1970,Quintana Roo,QROO,Mujeres,54.5,45823
86,1970,República Mexicana,Nacional,Hombres,54.5,25800414
87,1970,República Mexicana,Nacional,Mujeres,54.5,25760153
88,1970,San Luis Potosí,SLP,Hombres,54.5,695299
89,1970,San Luis Potosí,SLP,Mujeres,54.5,678719
90,1970,Sinaloa,SLOA,Hombres,54.5,682656
91,1970,Sinaloa,SLOA,Mujeres,54.5,652575
92,1970,Sonora,SON,Hombres,54.5,587509
93,1970,Sonora,SON,Mujeres,54.5,578528
94,1970,Tabasco,TAB,Hombres,54.5,413814
95,1970,Tabasco,TAB,Mujeres,54.5,400218
96,1970,Tamaulipas,TAM,Hombres,54.5,768208
97,1970,Tamaulipas,TAM,Mujeres,54.5,769356
98,1970,Tlaxcala,TLAX,Hombres,54.5,227696
99,1970,Tlaxcala,TLAX,Mujeres,54.5,220033
100,1970,Veracruz,VER,Hombres,54.5,2060598
101,1970,Veracruz,VER,Mujeres,54.5,2024677
102,1970,Yucatán,YUC,Hombres,54.5,411262
103,1970,Yucatán,YUC,Mujeres,54.5,408645
