AÑO,ENTIDAD,Clave_Entidad,SEXO,POBLACION,EDAD_PROMEDIO
1990,Aguascalientes,AG,Hombres,368701,22
2070,Aguascalientes,AG,Total,1872739,46
1998,Aguascalientes,AG,Hombres,455788,24
1992,Aguascalientes,AG,Mujeres,406505,24
2001,Aguascalientes,AG,Total,992461,25
2001,Aguascalientes,AG,Mujeres,508193,26
2001,Aguascalientes,AG,Hombres,484268,24
1992,Aguascalientes,AG,Total,798983,23
1987,Aguascalientes,AG,Hombres,334469,22
2000,Aguascalientes,AG,Total,968833,25
2070,Aguascalientes,AG,Hombres,914266,45
2070,Aguascalientes,AG,Mujeres,958473,47
1997,Aguascalientes,AG,Mujeres,465002,25
1997,Aguascalientes,AG,Total,912513,24
2056,Aguascalientes,AG,Mujeres,963311,43
2054,Aguascalientes,AG,Mujeres,959912,42
2051,Aguascalientes,AG,Mujeres,952746,41
2004,Aguascalientes,AG,Mujeres,546979,26
2061,Aguascalientes,AG,Mujeres,967181,44
1970,Aguascalientes,AG,Mujeres,181937,22
1998,Aguascalientes,AG,Mujeres,475217,25
2038,Aguascalientes,AG,Total,1748298,36
2000,Aguascalientes,AG,Mujeres,496053,25
2041,Aguascalientes,AG,Total,1782805,37
2061,Aguascalientes,AG,Total,1889273,44
1989,Aguascalientes,AG,Total,727003,23
1989,Aguascalientes,AG,Mujeres,369926,23
1998,Aguascalientes,AG,Total,931005,24
2018,Aguascalientes,AG,Hombres,693723,28
1989,Aguascalientes,AG,Hombres,357077,22
2060,Aguascalientes,AG,Mujeres,966928,44
2004,Aguascalientes,AG,Hombres,520714,25
2060,Aguascalientes,AG,Total,1888909,43
1987,Aguascalientes,AG,Total,680114,22
1987,Aguascalientes,AG,Mujeres,345645,23
1970,Aguascalientes,AG,Total,361162,22
1994,Aguascalientes,AG,Total,847751,24
1988,Aguascalientes,AG,Mujeres,357676,23
2019,Aguascalientes,AG,Total,1436338,29
2045,Aguascalientes,AG,Total,1820528,38
2031,Aguascalientes,AG,Mujeres,842571,34
2032,Aguascalientes,AG,Mujeres,850546,35
2016,Aguascalientes,AG,Mujeres,695776,29
2016,Aguascalientes,AG,Total,1367412,29
1979,Aguascalientes,AG,Total,509979,22
1979,Aguascalientes,AG,Mujeres,257529,22
1979,Aguascalientes,AG,Hombres,252450,21
2051,Aguascalientes,AG,Hombres,908823,40
2017,Aguascalientes,AG,Hombres,682582,28
2017,Aguascalientes,AG,Mujeres,707389,29
2032,Aguascalientes,AG,Total,1666085,34
2032,Aguascalientes,AG,Hombres,815539,33
2031,Aguascalientes,AG,Total,1650928,33
2017,Aguascalientes,AG,Total,1389971,29
2031,Aguascalientes,AG,Hombres,808357,33
2045,Aguascalientes,AG,Mujeres,931001,39
2021,Aguascalientes,AG,Total,1472645,30
2021,Aguascalientes,AG,Mujeres,750895,31
2021,Aguascalientes,AG,Hombres,721750,29
1978,Aguascalientes,AG,Mujeres,248582,22
1978,Aguascalientes,AG,Hombres,243966,21
2020,Aguascalientes,AG,Hombres,714122,29
2020,Aguascalientes,AG,Mujeres,741928,30
2020,Aguascalientes,AG,Total,1456050,30
2067,Aguascalientes,AG,Hombres,918690,45
