AÑO,ENTIDAD,Clave_Entidad,SEXO,POBLACION,EDAD_PROMEDIO
1950,República Mexicana,Nacional,Total,28463441,22.4058602
1950,República Mexicana,Nacional,Mujeres,14251729,22.74896849
1950,República Mexicana,Nacional,Hombres,14211712,22.0627519
1951,República Mexicana,Nacional,Mujeres,14600910,22.7750432
1951,República Mexicana,Nacional,Total,29161024,22.43428013
1951,República Mexicana,Nacional,Hombres,14560114,22.09351706
1952,República Mexicana,Nacional,Total,29893469,22.45542594
1952,República Mexicana,Nacional,Mujeres,14967008,22.79517215
1952,República Mexicana,Nacional,Hombres,14926461,22.11567973
1953,República Mexicana,Nacional,Total,30669402,22.4643505
1953,República Mexicana,Nacional,Mujeres,15354590,22.80260072
1953,República Mexicana,Nacional,Hombres,15314812,22.12610027
1954,República Mexicana,Nacional,Hombres,15734525,22.12655374
1954,República Mexicana,Nacional,Mujeres,15772650,22.79923145
1954,República Mexicana,Nacional,Total,31507175,22.4628926
1955,República Mexicana,Nacional,Hombres,16193661,22.11359704
1955,República Mexicana,Nacional,Total,32421555,22.44800834
1955,República Mexicana,Nacional,Mujeres,16227894,22.78241964
1956,República Mexicana,Nacional,Hombres,16675925,22.08866333
1956,República Mexicana,Nacional,Mujeres,16705485,22.75298586
1956,República Mexicana,Nacional,Total,33381410,22.42082459
1957,República Mexicana,Nacional,Hombres,17178776,22.05408616
1957,República Mexicana,Nacional,Mujeres,17203469,22.71390828
1957,República Mexicana,Nacional,Total,34382245,22.38399722
1958,República Mexicana,Nacional,Total,35428062,22.33991295
1958,República Mexicana,Nacional,Hombres,17704701,22.01232226
1958,República Mexicana,Nacional,Mujeres,17723361,22.66750364
1959,República Mexicana,Nacional,Total,36527873,22.28949834
1959,República Mexicana,Nacional,Mujeres,18270107,22.61520307
1959,República Mexicana,Nacional,Hombres,18257766,21.9637936
1960,República Mexicana,Nacional,Total,37678427,22.23170966
1960,República Mexicana,Nacional,Hombres,18836697,21.90791231
1960,República Mexicana,Nacional,Mujeres,18841730,22.555507
1961,República Mexicana,Nacional,Hombres,19442296,21.85119258
1961,República Mexicana,Nacional,Mujeres,19438832,22.49463075
1961,República Mexicana,Nacional,Total,38881128,22.17291166
1962,República Mexicana,Nacional,Mujeres,20060403,22.43564863
1962,República Mexicana,Nacional,Total,40133786,22.11602931
1962,República Mexicana,Nacional,Hombres,20073383,21.79641
1963,República Mexicana,Nacional,Mujeres,20702568,22.37161332
1963,República Mexicana,Nacional,Hombres,20726768,21.73811643
1963,República Mexicana,Nacional,Total,41429336,22.05486487
1964,República Mexicana,Nacional,Hombres,21403485,21.68305699
1964,República Mexicana,Nacional,Mujeres,21368724,22.31127465
1964,República Mexicana,Nacional,Total,42772209,21.99716582
1965,República Mexicana,Nacional,Mujeres,22057142,22.25847982
1965,República Mexicana,Nacional,Total,44157094,21.94619603
1965,República Mexicana,Nacional,Hombres,22099952,21.63391224
1966,República Mexicana,Nacional,Hombres,22810764,21.58915151
1966,República Mexicana,Nacional,Total,45573114,21.89985183
1966,República Mexicana,Nacional,Mujeres,22762350,22.21055216
1967,República Mexicana,Nacional,Hombres,23537327,21.55268264
1967,República Mexicana,Nacional,Mujeres,23486842,22.17218577
1967,República Mexicana,Nacional,Total,47024169,21.86243421
1968,República Mexicana,Nacional,Mujeres,24228824,22.13826816
1968,República Mexicana,Nacional,Hombres,24278984,21.51998712
1968,República Mexicana,Nacional,Total,48507808,21.82912764
1969,República Mexicana,Nacional,Total,50023146,21.79912888
1969,República Mexicana,Nacional,Mujeres,24987819,22.10765677
1969,República Mexicana,Nacional,Hombres,25035327,21.49060098
1970,Aguascalientes,AG,Mujeres,181937,22.14885372
1970,Aguascalientes,AG,Total,361162,21.7008908
1970,Aguascalientes,AG,Hombres,179225,21.25292788
1970,Baja California,BC,Mujeres,458693,21.34004879
1970,Baja California,BC,Hombres,458634,21.44924929
1970,Baja California,BC,Total,917327,21.39464904
1970,Baja California Sur,BCS,Total,135790,21.86933294
1970,Baja California Sur,BCS,Hombres,69679,21.96442257
1970,Baja California Sur,BCS,Mujeres,66111,21.77424332
1970,Campeche,CAMP,Hombres,137452,22.10613887
1970,Campeche,CAMP,Mujeres,134933,21.55165156
1970,Campeche,CAMP,Total,272385,21.82889522
1970,Chiapas,CHIA,Total,1709417,20.20998427
1970,Chiapas,CHIA,Hombres,867492,20.26186063
1970,Chiapas,CHIA,Mujeres,841925,20.15810791
1970,Chihuahua,CH,Total,1698240,21.88082518
1970,Chihuahua,CH,Hombres,856814,21.71942919
1970,Chihuahua,CH,Mujeres,841426,22.04222118
1970,Ciudad de México,CDMX,Hombres,3555034,21.77549863
1970,Ciudad de México,CDMX,Total,7336320,22.6800541
1970,Ciudad de México,CDMX,Mujeres,3781286,23.58460957
1970,Coahuila,COH,Hombres,597209,21.96636019
1970,Coahuila,COH,Mujeres,582953,22.34125907
1970,Coahuila,COH,Total,1180162,22.15380963
1970,Colima,COL,Hombres,128866,21.56841215
1970,Colima,COL,Mujeres,126883,22.0269382
1970,Colima,COL,Total,255749,21.79767518
1970,Durango,DGO,Mujeres,485354,21.44566234
1970,Durango,DGO,Total,990731,21.38396138
1970,Durango,DGO,Hombres,505377,21.32226041
1970,Guanajuato,GJ,Hombres,1214354,21.1896111
1970,Guanajuato,GJ,Mujeres,1200594,21.76644977
1970,Guanajuato,GJ,Total,2414948,21.47803044
1970,Guerrero,GUE,Hombres,868391,20.64973497
1970,Guerrero,GUE,Total,1734823,20.87681386
1970,Guerrero,GUE,Mujeres,866432,21.10389275
1970,Hidalgo,HDGO,Hombres,643761,21.4672324
1970,Hidalgo,HDGO,Mujeres,635854,22.0759168
1970,Hidalgo,HDGO,Total,1279615,21.7715746
1970,Jalisco,JAL,Total,3523706,21.89425941
1970,Jalisco,JAL,Mujeres,1774813,22.3887711
1970,Jalisco,JAL,Hombres,1748893,21.39974773
1970,Michoacán,MICH,Hombres,1253462,21.1543166
1970,Michoacán,MICH,Total,2491183,21.41013116
1970,Michoacán,MICH,Mujeres,1237721,21.66594572
1970,Morelos,MOR,Mujeres,329388,22.45110326
1970,Morelos,MOR,Total,659232,22.16182605
1970,Morelos,MOR,Hombres,329844,21.87254884
1970,México,EDOMX,Hombres,2083107,20.58499011
1970,México,EDOMX,Mujeres,2041157,21.05175545
1970,México,EDOMX,Total,4124264,20.81837278
1970,Nayarit,NAY,Mujeres,282378,21.86642373
1970,Nayarit,NAY,Total,574724,21.83320023
1970,Nayarit,NAY,Hombres,292346,21.79997674
1970,Nuevo León,NL,Hombres,900894,22.00526033
1970,Nuevo León,NL,Mujeres,887666,22.7169521
1970,Nuevo León,NL,Total,1788560,22.36110621
1970,Oaxaca,OAX,Mujeres,1101585,22.26776781
1970,Oaxaca,OAX,Total,2192362,22.08943898
1970,Oaxaca,OAX,Hombres,1090777,21.91111015
1970,Puebla,PUE,Mujeres,1365009,22.62202887
1970,Puebla,PUE,Total,2722961,22.1599071
1970,Puebla,PUE,Hombres,1357952,21.69778534
1970,Querétaro,QRO,Mujeres,258386,21.75131393
1970,Querétaro,QRO,Total,519908,21.44059605
1970,Querétaro,QRO,Hombres,261522,21.12987817
1970,Quintana Roo,QROO,Mujeres,45823,19.58974751
1970,Quintana Roo,QROO,Total,95721,20.52024351
1970,Quintana Roo,QROO,Hombres,49898,21.45073951
1970,República Mexicana,Nacional,Total,51560567,21.78008619
1970,República Mexicana,Nacional,Mujeres,25760153,22.08887478
1970,República Mexicana,Nacional,Hombres,25800414,21.47129759
1970,San Luis Potosí,SLP,Mujeres,678719,21.93707263
1970,San Luis Potosí,SLP,Hombres,695299,21.68059353
1970,San Luis Potosí,SLP,Total,1374018,21.80883308
1970,Sinaloa,SLOA,Hombres,682656,21.45470046
1970,Sinaloa,SLOA,Mujeres,652575,21.50512048
1970,Sinaloa,SLOA,Total,1335231,21.47991047
1970,Sonora,SON,Total,1166037,21.85985295
1970,Sonora,SON,Mujeres,578528,21.71213666
1970,Sonora,SON,Hombres,587509,22.00756925
1970,Tabasco,TAB,Mujeres,400218,20.02210295
1970,Tabasco,TAB,Total,814032,20.22612032
1970,Tabasco,TAB,Hombres,413814,20.43013769
1970,Tamaulipas,TAM,Total,1537564,22.34708463
1970,Tamaulipas,TAM,Mujeres,769356,22.30106349
1970,Tamaulipas,TAM,Hombres,768208,22.39310577
1970,Tlaxcala,TLAX,Hombres,227696,22.23493166
1970,Tlaxcala,TLAX,Mujeres,220033,22.84585948
1970,Tlaxcala,TLAX,Total,447729,22.54039557
1970,Veracruz,VER,Mujeres,2024677,21.99476756
1970,Veracruz,VER,Total,4085275,21.71289161
1970,Veracruz,VER,Hombres,2060598,21.43101566
1970,Yucatán,YUC,Total,819907,23.35067348
1970,Yucatán,YUC,Mujeres,408645,23.22482105
1970,Yucatán,YUC,Hombres,411262,23.47652591
1970,Zacatecas,ZAC,Mujeres,499095,21.19363247
1970,Zacatecas,ZAC,Hombres,502389,21.12932608
1970,Zacatecas,ZAC,Total,1001484,21.16147928
1971,Aguascalientes,AG,Hombres,186403,21.19888092
1971,Aguascalientes,AG,Mujeres,189278,22.10248946
1971,Aguascalientes,AG,Total,375681,21.65068519
1971,Baja California,BC,Mujeres,472547,21.44499489
1971,Baja California,BC,Hombres,472145,21.49050398
1971,Baja California,BC,Total,944692,21.46774943
1971,Baja California Sur,BCS,Hombres,73152,21.95118384
1971,Baja California Sur,BCS,Total,142537,21.85289969
1971,Baja California Sur,BCS,Mujeres,69385,21.75461555
1971,Campeche,CAMP,Hombres,144151,22.05472733
1971,Campeche,CAMP,Total,285625,21.77517245
1971,Campeche,CAMP,Mujeres,141474,21.49561757
1971,Chiapas,CHIA,Mujeres,863090,20.14222619
1971,Chiapas,CHIA,Total,1753287,20.21267558
1971,Chiapas,CHIA,Hombres,890197,20.28312497
1971,Chihuahua,CH,Total,1734964,21.90630734
1971,Chihuahua,CH,Mujeres,860392,22.07750653
1971,Chihuahua,CH,Hombres,874572,21.73510814
1971,Ciudad de México,CDMX,Total,7509052,22.72116607
1971,Ciudad de México,CDMX,Mujeres,3869914,23.62936902
1971,Ciudad de México,CDMX,Hombres,3639138,21.81296312
1971,Coahuila,COH,Mujeres,601189,22.322624
1971,Coahuila,COH,Hombres,614947,21.94224543
1971,Coahuila,COH,Total,1216136,22.13243471
1971,Colima,COL,Hombres,133274,21.54387953
1971,Colima,COL,Total,264532,21.77139123
1971,Colima,COL,Mujeres,131258,21.99890292
1971,Durango,DGO,Hombres,516042,21.27694645
1971,Durango,DGO,Mujeres,496718,21.41086894
1971,Durango,DGO,Total,1012760,21.3439077
1971,Guanajuato,GJ,Hombres,1245622,21.15207101
1971,Guanajuato,GJ,Total,2478824,21.43971396
1971,Guanajuato,GJ,Mujeres,1233202,21.72735691
1971,Guerrero,GUE,Hombres,891356,20.65093969
1971,Guerrero,GUE,Mujeres,888573,21.0952561
1971,Guerrero,GUE,Total,1779929,20.8730979
1971,Hidalgo,HDGO,Mujeres,650381,22.03861736
1971,Hidalgo,HDGO,Total,1309655,21.74348785
1971,Hidalgo,HDGO,Hombres,659274,21.44835835
1971,Jalisco,JAL,Mujeres,1823835,22.37008172
1971,Jalisco,JAL,Hombres,1795248,21.37517936
1971,Jalisco,JAL,Total,3619083,21.87263054
1971,Michoacán,MICH,Mujeres,1264497,21.62888405
1971,Michoacán,MICH,Total,2542749,21.37485734
1971,Michoacán,MICH,Hombres,1278252,21.12083063
1971,Morelos,MOR,Hombres,343231,21.86508794
1971,Morelos,MOR,Mujeres,342891,22.44552059
1971,Morelos,MOR,Total,686122,22.15530427
1971,México,EDOMX,Hombres,2227334,20.60042903
1971,México,EDOMX,Total,4413555,20.83126033
1971,México,EDOMX,Mujeres,2186221,21.06209162
1971,Nayarit,NAY,Total,590446,21.80695762
1971,Nayarit,NAY,Mujeres,290204,21.83862731
1971,Nayarit,NAY,Hombres,300242,21.77528793
1971,Nuevo León,NL,Hombres,934217,21.99740103
1971,Nuevo León,NL,Mujeres,920915,22.70324188
1971,Nuevo León,NL,Total,1855132,22.35032146
1971,Oaxaca,OAX,Total,2227100,22.05357211
1971,Oaxaca,OAX,Mujeres,1118235,22.2357018
1971,Oaxaca,OAX,Hombres,1108865,21.87144242
1971,Puebla,PUE,Total,2795346,22.08956219
1971,Puebla,PUE,Mujeres,1401533,22.54418626
1971,Puebla,PUE,Hombres,1393813,21.63493812
1971,Querétaro,QRO,Hombres,271770,21.05931486
1971,Querétaro,QRO,Mujeres,268493,21.66382736
1971,Querétaro,QRO,Total,540263,21.36157111
1971,Quintana Roo,QROO,Total,105751,20.53565187
1971,Quintana Roo,QROO,Hombres,55109,21.45154149
1971,Quintana Roo,QROO,Mujeres,50642,19.61976225
1971,República Mexicana,Nacional,Hombres,26582712,21.46246237
1971,República Mexicana,Nacional,Mujeres,26550872,22.08034467
1971,República Mexicana,Nacional,Total,53133584,21.77140352
1971,San Luis Potosí,SLP,Mujeres,695903,21.9081553
1971,San Luis Potosí,SLP,Hombres,712255,21.65106317
1971,San Luis Potosí,SLP,Total,1408158,21.77960924
1971,Sinaloa,SLOA,Hombres,706830,21.44850954
1971,Sinaloa,SLOA,Total,1383119,21.46642121
1971,Sinaloa,SLOA,Mujeres,676289,21.48433288
1971,Sonora,SON,Total,1200649,21.88484499
1971,Sonora,SON,Hombres,605361,22.01675694
1971,Sonora,SON,Mujeres,595288,21.75293303
1971,Tabasco,TAB,Mujeres,412460,20.01138535
1971,Tabasco,TAB,Total,838931,20.22440508
1971,Tabasco,TAB,Hombres,426471,20.43742482
1971,Tamaulipas,TAM,Total,1578080,22.35861887
1971,Tamaulipas,TAM,Mujeres,789780,22.34357669
1971,Tamaulipas,TAM,Hombres,788300,22.37366104
1971,Tlaxcala,TLAX,Hombres,233346,22.18188013
1971,Tlaxcala,TLAX,Mujeres,225917,22.75139542
1971,Tlaxcala,TLAX,Total,459263,22.46663778
1971,Veracruz,VER,Mujeres,2090974,22.01232057
1971,Veracruz,VER,Hombres,2126628,21.46380937
1971,Veracruz,VER,Total,4217602,21.73806497
1971,Yucatán,YUC,Total,844889,23.358744
1971,Yucatán,YUC,Mujeres,420997,23.25161462
1971,Yucatán,YUC,Hombres,423892,23.46587338
1971,Zacatecas,ZAC,Hombres,511275,21.06434111
1971,Zacatecas,ZAC,Mujeres,508397,21.1570977
1971,Zacatecas,ZAC,Total,1019672,21.1107194
1972,Aguascalientes,AG,Hombres,194108,21.13510005
